Flux_name,LC,Lat,lon,flux_site
US-CRT,CRO,41.6285,-83.3471,US-CRT
US-Goo,GRA,34.2547,-89.8735,US-Goo
US-IB2,GRA,41.8406,-88.241,US-IB2
US-Ivo,WET,68.4865,-155.7503,US-Ivo
US-KS1,ENF,28.4583,-80.6709,US-KS1
US-Lin,CRO,36.3566,-119.8423,US-Lin
US-Me3,ENF,44.3154,-121.6078,US-Me3
US-Me5,ENF,44.4372,-121.5668,US-Me5
US-Oho,DBF,41.5545,-83.8438,US-Oho
US-Prr,ENF,65.1237,-147.4876,US-Prr
US-SRC,OSH,31.9083,-110.8395,US-SRC
US-Sta,OSH,41.3966,-106.8024,US-Sta
US-WPT,WET,41.4646,-82.9962,US-WPT
US-Wi1,DBF,46.7305,-91.2329,US-Wi1
US-Wi2,ENF,46.6869,-91.1528,US-Wi2
US-Wi5,ENF,46.6531,-91.0858,US-Wi5
US-Wi7,OSH,46.6491,-91.0693,US-Wi7
US-Wi8,DBF,46.7223,-91.2524,US-Wi8
